ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
1,Bailey et al. 2018 PeerJ,1,BW,Salmo trutta,Fish,Tetracapsuloides bryosalmonae,Myxozoa,Observational,Wastewater treatment plant effluents,Pollution,Infection degree (index),Intensity,Epidemiological,yes,Comparison,Clean_Overall,Polluted_Overall,125,125,2.12,0.32,,,2.93,0.98,,,,,SE,,,,,,,,,,,,,,,,,Table 2,The study lasted 5 months for Epidemiologicaltraits and 4 months for the host demographictrait.Aval site has more wastewater effluents than the Ammont site
2,Bailey et al. 2018 PeerJ,1,BW,Salmo trutta,Fish,Tetracapsuloides bryosalmonae,Myxozoa,Observational,Wastewater treatment plant effluents,Pollution,Infection prevalence,Prevalence,Epidemiological,yes,Comparison,Clean_Overall,Polluted_Overall,125,125,67.35482,14.204,,,93.4725,5.39828,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3a,The study lasted 5 months for Epidemiologicaltraits and 4 months for the host demographictrait.Aval site has more wastewater effluents than the Ammont site
3,Bailey et al. 2018 PeerJ,1,BW,Salmo trutta,Fish,Tetracapsuloides bryosalmonae,Myxozoa,Observational,Wastewater treatment plant effluents,Pollution,Prevalence tissue proliferation,Prevalence,Epidemiological,yes,Comparison,Clean_Overall,Polluted_Overall,125,125,2.03,0.22,,,2.79,0.2,,,,,SE,,,,,,,,,,,,,,,,,Table 2,The study lasted 5 months for Epidemiologicaltraits and 4 months for the host demographictrait.Aval site has more wastewater effluents than the Ammont site
4,Bailey et al. 2018 PeerJ,1,BW,Salmo trutta,Fish,Tetracapsuloides bryosalmonae,Myxozoa,Observational,Wastewater treatment plant effluents,Pollution,Tissue proliferation,Prevalence,Epidemiological,yes,Contingency table,Clean_Overall,Polluted_Overall,125,125,,,,,,,,,85,101,OR,,,,,,,,,,,,,,,,,Table 2,The study lasted 5 months for Epidemiologicaltraits and 4 months for the host demographictrait.Aval site has more wastewater effluents than the Ammont site
5,Bailey et al. 2018 PeerJ,1,BW,Salmo trutta,Fish,Tetracapsuloides bryosalmonae,Myxozoa,Observational,Wastewater treatment plant effluents,Pollution,Mortality,Survivorship,All host demographic,yes,Contingency table,Clean_Overall,Polluted_Overall,69,99,,,,,,,,,10,23,OR,,,,,,,,,,,,,,,,,Figure 7,The study lasted 5 months for Epidemiologicaltraits and 4 months for the host demographictrait.Aval site has more wastewater effluents than the Ammont site. It id uncertain if all dead individuals were infected
6,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,yes,Contingency table/Kaplan-Meier,Normal_6C,Suboptimal_15C,62,60,0.024,,0.001,0.082,0.09,,0.03,0.179,0,5,OR,,,,,,,,,,,,,,,,,Results p1/ Legend Fig 1,Authors report both total number of dead individuals at the end of trial and estimates with 95 CI from Kaplan-Meier regression
7,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Mortality,Survivorship,Uninfected demographic,yes,Contingency table/Kaplan-Meier,Normal_6C,Suboptimal_15C,118,119,0.004,,0,0.027,0.02,,0.003,0.056,0,2,OR,,,,,,,,,,,,,,,,,Results p1/ Legend Fig 1,The total number of unifected hosts is the sum of control and cohabitants per treatment. Authors report both total number of dead individuals at the end of trial and estimates with 95 CI from Kaplan-Meier regression
8,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Parasite load week3,Intensity,Epidemiological,yes,Comparison,Normal_6C_blood,Suboptimal_15C_blood,10,9,3.442108,0.140421,,,1.722784,0.257382,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,Parasite load reported for the last week of mortality
9,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Parasite load week3,Intensity,Epidemiological,yes,Comparison,Normal_6C_heart,Suboptimal_15C_heart,10,9,0,0,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,Parasite load reported for the last week of mortality
10,Larsen et al. 2018 Front Microbiol,2,BW,Gadus morhua,Fish,Brucella pinnipedialis,Bacteria,Experimental,Temperature,Environment,Parasite load week3,Intensity,Epidemiological,yes,Comparison,Normal_6C_head_kidney,Suboptimal_15C_head_kidney,10,9,2.409342,0.355517,,,0.018786,0.085802,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 3,Parasite load reported for the last week of mortality
