ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Environment,Environmental_stage,Vector_transmitted,Final_host,Require_intermediate_host,Data_source,Comment,DOI
1095,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Percent disease prevalence,Prevalence,Epidemiological,yes,Contingency table,Not_exposed,30_min_exposure,12,12,,,,,,,,,3,10,OR,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 4a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1096,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Percent disease prevalence,Prevalence,Epidemiological,yes,Contingency table,Not_exposed,60_min_exposure,12,12,,,,,,,,,3,11,OR,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 4a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1097,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Percent disease prevalence,Prevalence,Epidemiological,yes,Contingency table,Not_exposed,90_min_exposure,12,12,,,,,,,,,3,10,OR,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 4a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1098,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Number of eggs,Fecundity,All host demographic,yes,Comparison,Not_exposed,30_min_exposure,6,6,1.9993857,0.2487716,,,0.3347666,0.14127764,,,,,SE,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 3a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1099,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Number of eggs,Fecundity,All host demographic,yes,Comparison,Not_exposed,60_min_exposure,6,6,1.9993857,0.2487716,,,0.16891892,0.11056511,,,,,SE,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 3a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1100,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Number of eggs,Fecundity,All host demographic,yes,Comparison,Not_exposed,90_min_exposure,6,6,1.9993857,0.2487716,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 3a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1101,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Percent egg hatchability,Survivorship,All host demographic,yes,Comparison,Not_exposed,30_min_exposure,6,6,61.17936,13.39066,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 3a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1102,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Percent egg hatchability,Survivorship,All host demographic,yes,Comparison,Not_exposed,60_min_exposure,6,6,61.17936,13.39066,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 3a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
1103,Malek and Haim. 2019. Integrative Zoology,135,BW,Melopsittacus undulatus,Bird,Avian polyomavirus,Virus,Experimental,Artificial light at night,Environment,Percent egg hatchability,Survivorship,All host demographic,yes,Comparison,Not_exposed,90_min_exposure,6,6,61.17936,13.39066,,,0,0,,,,,SE,,,,,,,,,,,,,,,,,Terrestrial,Absent ,No,Yes,No,Digitized from figure 3a,"Hosts are not infected, but rather natural infections are monitored during the study period",10.1111/1749-4877.12409
53,Buck et al. 2016 Freshw Biol,11,BW,Pseudacris regilla,Amphibian,Batrachochytrium dendrobatidis,Fungus,Experimental,Nitrogen and phosphorus conc,Resource,Survival,Survivorship,Infected demographic,yes,Comparison,Without_nutrients,With_nutrients,8,8,65.8046,6.839084,,,90.86207,2.35632,,,,,SE,,,,,,,,,,,,,,,,,Aquatic,Present ,No,Yes,No,Digitized from Fig 2,"Survival until metamorphosis, however long that takes, tadpoles were exposed to BD three times, not certain that they were infected",10.1111/fwb.12685
